idx  ,flight_type  ,in_flight_no  ,origin  ,  eta  , bay  ,gate  ,reg_no  ,out_flight_no  ,dest  ,  etd  ,ac_type  ,           pref  
 71  ,    ft.Full  ,       KQ706  ,   HRE  ,16:45  ,  4R  ,   2  ,   FFC  ,        KQ670  , KIS  ,17:30  ,    E90  ,                 
 72  ,    ft.Full  ,       KQ709  ,   HRE  ,06:20  , J2B  ,  16  ,   FFG  ,        KQ350  , JUB  ,07:55  ,    E90  ,                 
 73  ,    ft.Full  ,       KQ726  ,   LUN  ,20:25  ,  J5  ,  20  ,   FFE  ,        KQ406  , ADD  ,23:10  ,    E90  ,                 
 74  ,    ft.Full  ,       KQ731  ,   LLW  ,13:45  ,  3B  ,   1  ,   KYR  ,        KQ608  , MBA  ,14:35  ,    E90  ,                 
 75  ,    ft.Full  ,       KQ734  ,   LLW  ,06:15  ,  3B  ,   1  ,   FFJ  ,        KQ640  , MYD  ,10:00  ,    E90  ,                 
 76  ,    ft.Full  ,       KQ741  ,   MPM  ,21:05  ,  J7  ,      ,   FFD  ,               ,      ,23:59  ,    E90  ,                 
 77  ,    ft.Full  ,       KQ761  ,   JNB  ,17:40  ,  15  ,  15  ,   FFA  ,        KQ486  , DAR  ,18:50  ,    E90  ,                 
 78  ,    ft.Full  ,       KQ763  ,   JNB  ,21:25  ,  13  ,  13  ,   CYD  ,        KQ304  , DXB  ,22:30  ,   B738  ,                 
 79  ,    ft.Full  ,       KQ765  ,   JNB  ,06:55  ,  J5  ,  24  ,   CYB  ,        KQ502  , ACC  ,09:00  ,   B738  ,                 
 80  ,    ft.Full  ,       KQ771  ,   LAD  ,21:15  ,  2C  ,   2  ,   KQF  ,        KQ624  , MBA  ,22:55  ,   B737  ,                 
 81  ,    ft.Full  ,       KQ780  ,   HRE  ,22:00  ,  4L  ,      ,   KYQ  ,               ,      ,23:59  ,    E90  ,                 
 82  ,    ft.Full  ,      KQ8603  ,   MBA  ,11:20  ,  2A  ,   1  ,   BWG  ,       KQ8680  , LAU  ,12:30  ,    AT7  ,                 
 83  ,    ft.Full  ,      KQ8605  ,   MBA  ,14:05  ,  3C  ,   2  ,   KQB  ,       KQ8606  , MBA  ,14:55  ,   B73J  ,                 
 84  ,     ft.Arr  ,      KQ8607  ,   MBA  ,17:40  ,  3C  ,      ,   KQB  ,               ,      ,19:04  ,   B73J  ,                 
 85  ,    ft.Park  ,              ,   MBA  ,19:10  ,  3C  ,      ,   KQB  ,               ,      ,22:23  ,   B73J  ,                 
 86  ,     ft.Dep  ,              ,   MBA  ,22:29  ,  3C  ,      ,   KQB  ,               ,      ,23:59  ,   B73J  ,                 
