idx  ,flight_type  ,in_flight_no  ,origin  ,  eta  , bay  ,gate  ,reg_no  ,out_flight_no  ,dest  ,  etd  ,ac_type  
147  ,    ft.Full  ,       PW715  ,   ZNZ  ,21:15  ,  3C  ,      ,   PWG  ,               ,      ,23:59  ,    AT7  
148  ,    ft.Full  ,       PW723  ,   JRO  ,07:00  ,  H9  ,  22  ,   PWB  ,        PW722  , JRO  ,08:30  ,    AT7  
149  ,     ft.Arr  ,       PW725  ,   JRO  ,19:20  ,  3A  ,      ,   PWG  ,               , ZNZ  ,20:44  ,    AT7  
150  ,    ft.Park  ,              ,   JRO  ,20:50  ,  3A  ,      ,   PWG  ,               , ZNZ  ,06:34  ,    AT7  
151  ,     ft.Dep  ,              ,   JRO  ,06:40  ,  3A  ,  17  ,   PWG  ,        PW710  , ZNZ  ,08:10  ,    AT7  
152  ,    ft.Full  ,       PW725  ,   JRO  ,19:20  , J3B  ,      ,   PWB  ,               ,      ,23:59  ,    AT7  
153  ,    ft.Full  ,       PW727  ,   JRO  ,16:00  ,  2C  ,  10  ,   PWB  ,        PW726  , JRO  ,16:50  ,    AT7  
154  ,    ft.Full  ,      QR1337  ,   DOH  ,09:30  ,   5  ,   5  ,        ,       QR1338  , DOH  ,12:35  ,   A320  
155  ,    ft.Full  ,      QR1339  ,   DOH  ,13:10  ,   5  ,   5  ,        ,       QR1340  , DOH  ,17:35  ,   A320  
156  ,    ft.Full  ,       SA184  ,   JNB  ,15:15  ,  4R  ,   4  ,        ,        SA185  , JNB  ,16:05  ,   A320  
157  ,    ft.Full  ,       SN463  ,   BRU  ,21:45  ,   5  ,   5  ,        ,        SN463  , BRU  ,22:45  ,   A332  
158  ,    ft.Full  ,       SV431  ,   JED  ,11:32  ,   8  ,   8  ,        ,        SV430  , JED  ,13:10  ,   A320  
159  ,    ft.Full  ,      TK6510  ,   FIH  ,18:30  ,  4L  ,   4  ,        ,       TK6492  , IST  ,21:00  ,   A330  
160  ,    ft.Full  ,      TM4462  ,   MPM  ,14:25  ,  3B  ,   9  ,        ,       TM4463  , MPM  ,15:45  ,    E90  
161  ,    ft.Full  ,       WB402  ,   KGL  ,15:40  ,   8  ,   8  , 9XRWH  ,        WB403  , KGL  ,16:30  ,   CRJ9  
162  ,    ft.Full  ,       WB450  ,   EBB  ,10:40  ,  4R  ,   7  , 9XRWI  ,        WB450  , KGL  ,11:25  ,   CRJ9  
163  ,    ft.Full  ,       WB460  ,   KGL  ,20:15  ,  4R  ,   9  , 9XRWH  ,        WB460  , EBB  ,21:35  ,   CRJ9  
164  ,    ft.Full  ,              ,        ,06:50  ,  J5  ,  24  ,        ,        KQ210  , BOM  ,07:50  ,   B788  
165  ,    ft.Full  ,              ,        ,22:25  ,  18  ,  18  ,        ,        KQ102  , LHR  ,23:25  ,   B788  
166  ,     ft.Arr  ,       CZ633  ,   CAN  ,07:00  ,   6  ,      ,        ,               , CAN  ,08:24  ,   A330  
167  ,    ft.Park  ,              ,   CAN  ,08:30  ,   6  ,      ,        ,               , CAN  ,11:59  ,   A330  
168  ,     ft.Dep  ,              ,   CAN  ,12:05  ,   6  ,   4  ,        ,        CZ634  , CAN  ,13:35  ,   A330  
169  ,    ft.Full  ,       EK721  ,   DXB  ,19:00  ,   7  ,   7  ,        ,        EK722  , DUB  ,22:50  ,   B773  
170  ,     ft.Arr  ,       SA180  ,   JNB  ,22:40  ,   5  ,      ,        ,               , JNB  ,00:04  ,   A320  
171  ,    ft.Park  ,              ,   JNB  ,00:10  ,   5  ,      ,        ,               , JNB  ,06:54  ,   A320  
172  ,     ft.Dep  ,              ,   JNB  ,07:00  ,   5  ,   5  ,        ,        SA181  , JNB  ,08:30  ,   A320  
173  ,    ft.Full  ,       TK607  ,   IST  ,07:25  ,   8  ,   8  ,        ,        TK608  , IST  ,10:35  ,   A330  
